CBNO,ILCE_CBNO,ADI,ALAN,CEVRE,NUFUS,POSTAKODU
76.00000,2.00000,GARİPÇE,38059287.00000,35034.00000,812.00000,"38560"
41.00000,4.00000,DANİŞMENTGAZİ,911195.00000,4159.00000,11089.00000,"38150"
42.00000,2.00000,DOKUZPINAR,600439.00000,4197.00000,124.00000,"38560"
43.00000,3.00000,EBİÇ,41448262.00000,42108.00000,936.00000,"38090"
458.00000,6.00000,FATİH,33593659.00000,29410.00000,2787.00000,"38600"
47.00000,5.00000,ENDÜRLÜK,5750773.00000,13141.00000,279.00000,"38300"
48.00000,1.00000,ERCİYES,2432492.00000,10246.00000,1926.00000,"38310"
73.00000,3.00000,FEVZİ ÇAKMAK,983914.00000,4016.00000,16582.00000,"38020"
151.00000,5.00000,MEVLANA,4123342.00000,8555.00000,94739.00000,"38280"
152.00000,3.00000,MEVLANA,988866.00000,4002.00000,10509.00000,"38040"
153.00000,3.00000,MİMARSİNAN,1196863.00000,4432.00000,18920.00000,"38020"
257.00000,3.00000,KUŞCAĞIZ,13007726.00000,19300.00000,133.00000,"38095"
74.00000,3.00000,FEVZİOĞLU,6866624.00000,13101.00000,2297.00000,"38030"
81.00000,4.00000,İLDEM CUMHURİYET,1082296.00000,4504.00000,23348.00000,"38180"
260.00000,3.00000,HASANCI,16153769.00000,24304.00000,205.00000,"38095"
262.00000,3.00000,HIRKAKÖY,83441573.00000,55520.00000,629.00000,"38090"
264.00000,3.00000,ESKİÖMERLER,42743155.00000,40522.00000,279.00000,"38090"
265.00000,3.00000,YEMLİHA,90942235.00000,61677.00000,4372.00000,"38090"
157.00000,4.00000,FATİH,4379320.00000,10941.00000,5187.00000,"38165"
515.00000,6.00000,TAÇIN,41935263.00000,41820.00000,256.00000,"38600"
160.00000,4.00000,ŞİRİNTEPE,2068566.00000,6850.00000,21124.00000,"38165"
164.00000,1.00000,ORTA,50004.00000,1474.00000,161.00000,"38310"
166.00000,4.00000,OSMAN KAVUNCU,1976675.00000,9601.00000,9089.00000,"38130"
167.00000,4.00000,OSMANLI,1079776.00000,6096.00000,16379.00000,"38150"
169.00000,2.00000,ÖRENŞEHİR,12433356.00000,16606.00000,2184.00000,"38560"
139.00000,4.00000,KÖŞK,4818863.00000,10311.00000,23510.00000,"38140"
140.00000,5.00000,KURUKÖPRÜ,29749214.00000,32195.00000,1596.00000,"38300"
141.00000,5.00000,ÇATAKDERE,11539246.00000,19583.00000,604.00000,"38300"
142.00000,3.00000,AKİN,23035323.00000,26587.00000,466.00000,"38055"
143.00000,3.00000,BOYACI,27858756.00000,27249.00000,263.00000,"38055"
144.00000,3.00000,KUŞÇU,22006425.00000,29616.00000,505.00000,"38055"
782.00000,15.00000,YÜZEVLER,672477.00000,5850.00000,278.00000,"38400"
110.00000,3.00000,HOCA AHMET YESEVİ,1166801.00000,4452.00000,10044.00000,"38040"
112.00000,1.00000,HÜRMETCİ,8318189.00000,14268.00000,164.00000,"38315"
113.00000,4.00000,HÜRRİYET,864230.00000,3867.00000,13913.00000,"38120"
809.00000,11.00000,DERBENTBAŞI,31174680.00000,28342.00000,334.00000,"38800"
90.00000,2.00000,GÖNENKENT,550547.00000,3658.00000,1556.00000,"38560"
419.00000,5.00000,KOÇCAĞIZ,36870748.00000,31428.00000,459.00000,"38300"
117.00000,2.00000,KARAKOYUNLU,23125791.00000,26845.00000,2010.00000,"38560"
118.00000,2.00000,KARAMUSTAFAPAŞA,5776666.00000,16143.00000,2275.00000,"38560"
121.00000,4.00000,KAZIMKARABEKİR,4795305.00000,9935.00000,12913.00000,"38130"
123.00000,5.00000,KEPEZ,33827329.00000,36125.00000,2469.00000,"38300"
124.00000,4.00000,KEYKUBAT,1172136.00000,5043.00000,17277.00000,"38170"
125.00000,4.00000,KILIÇASLAN,435022.00000,2666.00000,8240.00000,"38140"
132.00000,2.00000,KIZILÖREN ÖTEBATAN,12691883.00000,17647.00000,534.00000,"38560"
135.00000,5.00000,KİÇİKÖY,1006426.00000,3907.00000,5828.00000,"38280"
205.00000,2.00000,VALİ İHSAN ARAS,447815.00000,2783.00000,2484.00000,"38560"
206.00000,2.00000,YARIM,83834.00000,1343.00000,262.00000,"38560"
208.00000,3.00000,YAVUZ SELİM,894598.00000,4846.00000,3213.00000,"38080"
209.00000,3.00000,YAZIR,10647711.00000,18323.00000,515.00000,"38055"
210.00000,5.00000,YAZYURDU,15545007.00000,24773.00000,559.00000,"38300"
211.00000,1.00000,YEDİAĞAÇ,19423801.00000,33842.00000,639.00000,"38310"
230.00000,3.00000,ZÜMRÜT,2183208.00000,6423.00000,12142.00000,"38040"
231.00000,4.00000,19 MAYIS,1063773.00000,4851.00000,11972.00000,"38170"
232.00000,4.00000,30 AĞUSTOS,659448.00000,3252.00000,8007.00000,"38170"
