id,level,parent_id,region_id,region_name,name,name_ascii,slug,plate_code,district_local_code,iso_3166_2,nuts_code,tuik_id,icisleri_id,osm_relation_id,municipality_type,municipality_type_label,is_metropolitan_municipality,centroid_lat,centroid_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,aliases,member_ids,x,y,coordinate_system
TR-P-28,province,TR-R-KAR,TR-R-KAR,Karadeniz,Giresun,giresun,giresun,28,,TR-28,TR903,28,,,il_belediyesi,İl Belediyesi,false,40.5626407,38.42116141,37.970181535000165,40.045213045000025,39.17552799400016,41.08121979900011,[],[],38.42116141,40.5626407,EPSG:4326
TR-P-29,province,TR-R-KAR,TR-R-KAR,Karadeniz,Gümüşhane,gumushane,gumushane,29,,TR-29,TR906,29,,,il_belediyesi,İl Belediyesi,false,40.32547506,39.41116768,38.789944695000145,39.84381546900016,40.12883512700006,40.810027640000044,[],[],39.41116768,40.32547506,EPSG:4326
TR-P-30,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Hakkari,hakkari,hakkari,30,,TR-30,TRB24,30,,,il_belediyesi,İl Belediyesi,false,37.38494554,43.99797666,43.30777084400006,36.96345880000018,44.817931,37.80624218600008,[],[],43.99797666,37.38494554,EPSG:4326
TR-P-31,province,TR-R-AKD,TR-R-AKD,Akdeniz,Hatay,hatay,hatay,31,,TR-31,TR631,31,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,36.40784375,36.22553144,35.78212040000005,35.80841930000014,36.697888200000136,37.006716979000146,[],[],36.22553144,36.40784375,EPSG:4326
TR-P-32,province,TR-R-AKD,TR-R-AKD,Akdeniz,Isparta,isparta,isparta,32,,TR-32,TR612,32,,,il_belediyesi,İl Belediyesi,false,37.92140792,30.79682421,30.110768411000038,37.33428830200012,31.57325350500014,38.50991501700008,[],[],30.79682421,37.92140792,EPSG:4326
TR-P-33,province,TR-R-AKD,TR-R-AKD,Akdeniz,Mersin,mersin,mersin,33,,TR-33,TR622,33,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,36.72829219,33.7450973,32.55750007500012,36.02006150000017,35.151431205000165,37.43563918299998,[],[],33.7450973,36.72829219,EPSG:4326
TR-P-34,province,TR-R-MAR,TR-R-MAR,Marmara,İstanbul,istanbul,istanbul,34,,TR-34,TR100,34,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,41.26903135,28.49665556,27.97431182100013,40.8027336990001,29.92172864500003,41.58346809600016,[],[],28.49665556,41.26903135,EPSG:4326
TR-P-35,province,TR-R-EGE,TR-R-EGE,Ege,İzmir,izmir,izmir,35,,TR-35,TR310,35,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,38.60961231,27.02130045,26.205601499000124,37.82533016600007,28.50225037700011,39.39361303800018,[],[],27.02130045,38.60961231,EPSG:4326
TR-P-36,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Kars,kars,kars,36,,TR-36,TRA22,36,,,il_belediyesi,İl Belediyesi,false,40.5081214,43.06011509,42.12942919700015,39.92100762299998,43.75004610000008,41.09499056700014,[],[],43.06011509,40.5081214,EPSG:4326
TR-P-37,province,TR-R-KAR,TR-R-KAR,Karadeniz,Kastamonu,kastamonu,kastamonu,37,,TR-37,TR821,37,,,il_belediyesi,İl Belediyesi,false,41.42389604,33.80402036,32.746943290000104,40.82664302500018,34.608019170000034,42.0198722990001,[],[],33.80402036,41.42389604,EPSG:4326
TR-P-38,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Kayseri,kayseri,kayseri,38,,TR-38,TR721,38,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,38.49690102,35.85938057,34.894653611000024,37.686197922000076,36.971598738000125,39.30999544000019,[],[],35.85938057,38.49690102,EPSG:4326
TR-P-39,province,TR-R-MAR,TR-R-MAR,Marmara,Kırklareli,kirklareli,kirklareli,39,,TR-39,TR213,39,,,il_belediyesi,İl Belediyesi,false,41.66452505,27.51401917,26.880642577000174,41.222973501000126,28.146823300000165,42.10478570000015,[],[],27.51401917,41.66452505,EPSG:4326
TR-P-40,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Kırşehir,kirsehir,kirsehir,40,,TR-40,TR715,40,,,il_belediyesi,İl Belediyesi,false,39.29582366,34.07130003,33.419478908000144,38.79905682800012,34.69229752000018,39.79225343000007,[],[],34.07130003,39.29582366,EPSG:4326
TR-P-41,province,TR-R-MAR,TR-R-MAR,Marmara,Kocaeli,kocaeli,kocaeli,41,,TR-41,TR421,41,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,40.85522391,29.80542193,29.33302900000018,40.49995786700009,30.367419740000116,41.2098449990001,[],[],29.80542193,40.85522391,EPSG:4326
TR-P-42,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Konya,konya,konya,42,,TR-42,TR521,42,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,38.01256549,32.45731449,31.239389058000086,36.73398320400008,34.45047368000013,39.29150348200011,[],[],32.45731449,38.01256549,EPSG:4326
TR-P-43,province,TR-R-EGE,TR-R-EGE,Ege,Kütahya,kutahya,kutahya,43,,TR-43,TR333,43,,,il_belediyesi,İl Belediyesi,false,39.32785094,29.60211178,28.612331925000035,38.781243164000045,30.438375613000062,39.8755015700001,[],[],29.60211178,39.32785094,EPSG:4326
TR-P-44,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Malatya,malatya,malatya,44,,TR-44,TRB11,44,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,38.52390445,37.83670531,37.262016166000194,37.89124514700006,39.15148304500008,39.156165378000026,[],[],37.83670531,38.52390445,EPSG:4326
