id,level,parent_id,region_id,region_name,name,name_ascii,slug,plate_code,district_local_code,iso_3166_2,lau_code,tuik_id,icisleri_id,osm_relation_id,parent_name,centroid_lat,centroid_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,aliases,member_ids,x,y,coordinate_system
TR-D-02-005,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Gölbaşı,golbasi,golbasi-adiyaman,02,005,,,,,,Adıyaman,37.75429732,37.58513405,37.439587212000106,37.565249579000124,37.87705923400006,37.94365940600011,[],[],37.58513405,37.75429732,EPSG:4326
TR-D-02-006,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Kâhta,kahta,kahta-adiyaman,02,006,,,,,,Adıyaman,37.81110778,38.70352659,38.46662745000003,37.60187787000007,38.96287105600004,38.020543483000154,[],[],38.70352659,37.81110778,EPSG:4326
TR-D-02-007,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Samsat,samsat,samsat-adiyaman,02,007,,,,,,Adıyaman,37.5767583,38.47839805,38.34923830800017,37.478517313,38.63259585500015,37.67271684200006,[],[],38.47839805,37.5767583,EPSG:4326
TR-D-02-008,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Sincik,sincik,sincik-adiyaman,02,008,,,,,,Adıyaman,38.05164942,38.55696237,38.405147985999974,37.91898967400016,38.75768102700016,38.18287188200014,[],[],38.55696237,38.05164942,EPSG:4326
TR-D-02-009,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Tut,tut,tut-adiyaman,02,009,,,,,,Adıyaman,37.81966543,37.92877617,37.829760668,37.71432090200017,38.07595507800005,37.92493831400009,[],[],37.92877617,37.81966543,EPSG:4326
TR-D-03-001,district,TR-P-03,TR-R-EGE,Ege,Afyonkarahisar,afyonkarahisar,afyonkarahisar-afyonkarahisar,03,001,,,,,,Afyonkarahisar,38.76602117,30.60734872,30.203436932000102,38.53642541800008,30.87897740699998,38.99565662200001,[],[],30.60734872,38.76602117,EPSG:4326
TR-D-03-002,district,TR-P-03,TR-R-EGE,Ege,Başmakçı,basmakci,basmakci-afyonkarahisar,03,002,,,,,,Afyonkarahisar,37.89350367,30.03934631,29.88479086899997,37.788266654000154,30.153076482000074,37.996744948000014,[],[],30.03934631,37.89350367,EPSG:4326
TR-D-03-003,district,TR-P-03,TR-R-EGE,Ege,Bayat,bayat,bayat-afyonkarahisar,03,003,,,,,,Afyonkarahisar,38.99773919,30.92514329,30.806086718000188,38.793372612000155,31.015541155000108,39.203789325,[],[],30.92514329,38.99773919,EPSG:4326
TR-D-03-004,district,TR-P-03,TR-R-EGE,Ege,Bolvadin,bolvadin,bolvadin-afyonkarahisar,03,004,,,,,,Afyonkarahisar,38.77664875,31.13116095,30.872065556000166,38.62347379100015,31.377231312000106,38.93035962700003,[],[],31.13116095,38.77664875,EPSG:4326
TR-D-03-005,district,TR-P-03,TR-R-EGE,Ege,Çay,cay,cay-afyonkarahisar,03,005,,,,,,Afyonkarahisar,38.49494948,30.89227099,30.69995977300016,38.320005483000045,31.18448204499998,38.67009219300019,[],[],30.89227099,38.49494948,EPSG:4326
TR-D-03-006,district,TR-P-03,TR-R-EGE,Ege,Çobanlar,cobanlar,cobanlar-afyonkarahisar,03,006,,,,,,Afyonkarahisar,38.7478656,30.82802012,30.752339907000135,38.664817355000025,30.915831896000157,38.82578096700013,[],[],30.82802012,38.7478656,EPSG:4326
TR-D-03-007,district,TR-P-03,TR-R-EGE,Ege,Dazkırı,dazkiri,dazkiri-afyonkarahisar,03,007,,,,,,Afyonkarahisar,37.92752242,29.79888202,29.672708583000144,37.820884079000166,29.983157824999978,38.03291522600017,[],[],29.79888202,37.92752242,EPSG:4326
